ang freq,ReZ,ReZ,ReZ,ReZ,ReZ,,,
rad/s,,,,,,,Nb:MoSe2,NSJ
,50um,80um,100um,150um,200um,,,
125.66371,8.15E+07,1604003.03103,1442835.98628,1186440.61149,1917008.34594,,,
134.92512,8.14E+07,1604286.78863,1441230.51229,1184688.58503,1913547.11387,,,
144.86512,8.14E+07,1601221.49993,1440484.95364,1185075.77042,1910412.29689,,,
155.54025,8.12E+07,1601215.00034,1439229.88588,1186646.70867,1908984.26658,,,
167.00707,8.14E+07,1601674.31397,1439914.81567,1185448.23134,1907429.87111,,,
179.31583,8.13E+07,1602643.53259,1438626.17417,1184561.88773,1907655.54126,,,
192.52936,8.13E+07,1597859.94514,1436409.10282,1184006.24973,1908012.92607,,,
206.7168,8.11E+07,1595420.266,1435175.48032,1182114.94417,1906145.60326,,,
221.94724,8.11E+07,1602375.62086,1434731.37634,1181488.87093,1906173.19806,,,
238.30237,8.13E+07,1598486.0717,1435447.45742,1180981.53613,1905886.67877,,,
255.87016,8.14E+07,1599574.7776,1434311.08795,1180071.55257,1906106.89115,,,
274.72599,8.13E+07,1599906.42268,1435939.56182,1180155.88628,1906404.59071,,,
294.97042,8.14E+07,1597916.50771,1435643.5407,1178971.33075,1906031.95301,,,
316.70396,8.14E+07,1599004.5035,1436773.29522,1178790.26939,1905244.93661,,,
340.04599,8.14E+07,1596939.1981,1435205.29608,1178291.04905,1904738.52388,,,
365.10333,8.15E+07,1597778.82024,1435322.11421,1178560.87577,1905275.31538,,,
392.00793,8.14E+07,1598584.8927,1434457.80742,1178344.17189,1903994.40885,,,
420.89802,8.15E+07,1597927.05,1436332.64563,1178288.88454,1904234.66155,,,
451.9181,8.15E+07,1595517.62248,1435957.8539,1178127.53603,1904203.90209,,,
485.21899,8.13E+07,1599446.26832,1434364.64526,1178115.33028,1904344.57787,,,
520.97659,8.15E+07,1597790.2359,1435479.9257,1178676.38815,1903839.84553,,,
559.37314,8.12E+07,1600358.87641,1435323.63244,1178559.94318,1903904.3403,,,
600.59083,8.14E+07,1599191.00134,1434299.55652,1178629.17436,1904006.52193,,,
644.84959,8.15E+07,1597655.18956,1435272.57644,1177832.03232,1903702.3403,,,
692.3756,8.13E+07,1598538.76968,1435529.45067,1178571.89347,1904319.62601,,,
743.39507,8.12E+07,1597658.83569,1436093.61462,1177573.66252,1903804.66355,,,
798.18445,8.13E+07,1596309.462,1435554.10112,1179209.89555,1903370.03537,,,
857.00134,8.12E+07,1598730.68228,1435620.37821,1178453.9235,1903134.86545,,,
920.15992,8.10E+07,1595538.33297,1435775.52877,1178403.52855,1903598.91346,,,
987.96806,8.13E+07,1598048.62884,1434676.81733,1177827.22379,1902919.0254,,,
1060.77761,8.13E+07,1600519.5251,1434096.17484,1177811.05224,1903458.72994,,,
1138.94672,8.12E+07,1595802.34004,1435552.37434,1177215.18305,1903298.98915,,,
1222.88379,8.11E+07,1594627.88961,1435666.88255,1177840.69109,1903295.29894,,,
1313.00352,8.12E+07,1592157.21502,1436622.67691,1177322.97511,1902750.94847,,,
1409.75829,8.12E+07,1592426.79448,1436213.42811,1176944.13221,1902679.05084,,,
1513.65076,8.12E+07,1593259.53496,1435570.34646,1177798.88949,1902832.35845,,,
1625.19615,8.12E+07,1594083.96566,1434339.53805,1177953.87538,1902581.92952,,,
1744.96622,8.11E+07,1593955.27135,1435127.07885,1177454.881,1902443.86274,,,
1873.55789,8.10E+07,1594480.29957,1435311.76962,1177332.78676,1902490.98018,,,
2011.63089,8.11E+07,1592495.21718,1434368.93101,1177088.25212,1902230.17251,,,
2159.87008,8.12E+07,1594424.9042,1433635.69443,1177067.60606,1903161.16499,,,
2319.04202,8.11E+07,1593779.79388,1436128.78504,1176777.56744,1902700.64337,,,
2489.93837,8.12E+07,1593947.4443,1435052.14368,1176765.10433,1902160.09672,,,
2673.43252,8.12E+07,1597236.87488,1435458.88921,1177329.45258,1903104.39395,,,
2870.44807,8.11E+07,1597731.45266,1435188.09623,1177070.14851,1903392.5249,,,
3081.98407,8.12E+07,1597828.15201,1436548.96081,1177140.63241,1903243.28067,,,
3309.10866,8.14E+07,1597328.30814,1434811.06805,1176863.0883,1904062.14724,,,
3552.96536,8.12E+07,1597966.93056,1434412.21073,1177398.85118,1903873.70207,,,
3814.79826,8.12E+07,1593859.53368,1434556.88904,1177797.34516,1903267.42588,,,
4095.92682,8.12E+07,1595352.96345,1435972.66894,1177300.19188,1903233.39234,,,
4397.77104,8.11E+07,1596297.22514,1434663.53144,1177281.52218,1902676.67803,,,
4721.85774,8.12E+07,1596147.77387,1434236.73442,1178055.18365,1903456.09187,,,
5069.83311,8.12E+07,1597099.44928,1432542.75888,1177939.25579,1903800.05155,,,
5443.45016,8.12E+07,1595482.27453,1433897.62459,1177461.78691,1902918.76396,,,
5844.59384,8.12E+07,1594275.94778,1433298.64826,1178316.39393,1902454.52901,,,
6275.30619,8.12E+07,1596499.27762,1435136.47076,1177837.58218,1903267.65558,,,
6737.7612,8.12E+07,1596018.64479,1433178.07518,1176818.46082,1901768.78909,,,
7234.28992,8.12E+07,1596687.10702,1433448.4,1177057.89232,1901855.21161,,,
7767.41191,8.13E+07,1596168.50588,1434346.04117,1177473.63827,1902260.59898,,,
8339.82265,8.13E+07,1596013.0715,1433695.48155,1177749.09704,1902714.77554,,,
8954.41243,8.13E+07,1598603.24182,1432595.15233,1177202.88692,1903536.66524,,,
9614.29768,8.14E+07,1597219.58224,1433785.73681,1177680.13115,1902746.79742,,,
10322.81479,8.14E+07,1598727.37725,1432894.93746,1178148.13839,1903047.93586,,,
11083.54517,8.13E+07,1598224.87137,1433802.99533,1177524.45809,1902895.69718,,,
11900.33412,8.14E+07,1597277.76337,1433385.98657,1177521.98161,1902412.22561,,,
12777.30971,8.14E+07,1597882.10683,1434995.12786,1177824.169,1901488.2415,,,
13718.92043,8.15E+07,1597974.832,1432642.76632,1177243.79342,1901708.29779,,,
14729.92264,8.15E+07,1597558.24377,1433512.08519,1178319.25628,1902092.82698,,,
15815.42459,8.15E+07,1597691.93539,1434174.03131,1178438.58984,1902979.41538,,,
16980.92404,8.15E+07,1600022.95484,1435254.93009,1178226.74359,1902480.83678,,,
18232.31465,8.16E+07,1600355.28946,1433318.79733,1178170.74944,1902158.16325,,,
19575.92356,8.17E+07,1596935.29389,1432842.67826,1178075.00791,1902218.45691,,,
21018.54919,8.17E+07,1596811.3871,1434498.24867,1177296.72514,1901574.47311,,,
22567.48631,8.16E+07,1595824.81002,1433459.13443,1178216.55012,1901185.92043,,,
24230.57007,8.17E+07,1594631.67954,1433992.9255,1178039.92868,1902435.0375,,,
26016.21363,8.16E+07,1594735.79283,1434390.74537,1177442.86626,1901564.17617,,,
27933.44595,8.16E+07,1595359.55317,1432839.63509,1178117.57505,1902163.37609,,,
29991.96825,8.15E+07,1594915.44086,1433439.96183,1177560.85803,1900965.34025,,,
32202.19178,8.17E+07,1594863.47518,1432918.63451,1177251.92822,1901435.83586,,,
34575.29432,8.16E+07,1591962.12858,1433799.48492,1176798.48292,1902143.6902,,,
37123.28304,8.17E+07,1592376.69008,1434703.43763,1177128.28196,1902584.70403,,,
39859.03847,8.18E+07,1593029.7756,1433124.82393,1176359.98046,1903294.76095,,,
42796.40247,8.17E+07,1593275.74871,1432983.14469,1176131.23288,1903012.30891,,,
45950.23477,8.16E+07,1592032.5442,1432596.82003,1176214.85195,1903363.75345,,,
49336.48209,8.17E+07,1598676.36422,1432424.53351,1176276.22343,1903247.71302,,,
52972.27869,8.17E+07,1596678.27938,1432619.17684,1176497.70316,1903861.86839,,,
56876.00915,8.18E+07,1595479.57672,1431601.18293,1176975.86867,1903201.92053,,,
61067.42154,8.17E+07,1597914.90454,1431229.10301,1176254.20067,1903255.24788,,,
65567.70903,8.18E+07,1595117.98939,1431351.94308,1176042.62255,1903181.95122,,,
70399.64818,8.17E+07,1593389.60739,1430866.7116,1176508.1651,1902822.14506,,,
75587.66801,8.18E+07,1594215.4704,1430281.52774,1176341.06061,1902790.06221,,,
81158.00709,8.18E+07,1593992.75158,1432145.21495,1176866.52151,1901984.21949,,,
87138.8518,8.18E+07,1593489.59604,1430456.52518,1176244.79982,1900954.96606,,,
93560.4494,8.16E+07,1594125.76776,1430141.97072,1176463.04683,1900701.48413,,,
100455.27766,8.17E+07,1593029.65802,1431140.5612,1176528.01508,1901726.05256,,,
107858.20827,8.16E+07,1592343.99267,1431039.10508,1176015.05325,1901065.40739,,,
115806.6953,8.16E+07,1590935.74702,1430648.3727,1176438.33376,1900521.15622,,,
124340.93227,8.17E+07,1593198.32037,1429616.5739,1176238.04265,1900964.7522,,,
133504.09096,8.16E+07,1591407.81471,1429581.05312,1176054.83235,1900632.67995,,,
143342.52243,8.17E+07,1591277.40224,1429023.6939,1176063.77416,1899744.65345,,,
153905.97693,8.18E+07,1590006.06517,1431576.58744,1175487.15345,1899329.8113,,,
165247.89924,8.17E+07,1593381.92519,1431750.52679,1174976.11932,1898681.78541,,,
177425.64856,8.18E+07,1589738.86152,1431102.94855,1174412.15,1898189.14133,,,
190500.82524,8.19E+07,1590344.33005,1430998.73045,1174010.00598,1897009.78087,,,
204539.5598,8.19E+07,1590732.44663,1429487.23649,1174720.82974,1896120.45828,,,
219612.8648,8.21E+07,1591354.44353,1428438.69307,1173970.72575,1895280.6912,,,
235796.97414,8.20E+07,1591011.65009,1427245.5969,1174207.06798,1894651.6713,,,
253173.75771,8.20E+07,1590505.95634,1426449.16077,1173599.42579,1892081.45433,,,
271831.09842,8.21E+07,1586223.43194,1424075.01836,1173508.43759,1890275.60305,,,
291863.37601,8.22E+07,1585779.5352,1423240.18594,1172687.75497,1888544.16356,,,
313371.90684,8.21E+07,1584723.19467,1423099.56229,1172201.21665,1887158.93912,,,
336465.47798,8.22E+07,1582659.15041,1422152.54903,1171791.3672,1885643.31151,,,
361260.9064,8.23E+07,1581739.46531,1421496.54137,1170359.01432,1882482.16422,,,
387883.6045,8.24E+07,1581501.24013,1419384.90079,1169122.96784,1879801.94882,,,
416468.23349,8.25E+07,1580598.85833,1416061.85661,1169300.01661,1878159.17525,,,
447159.36946,8.24E+07,1577949.41567,1414848.35963,1167391.86633,1874802.20656,,,
480112.25737,8.25E+07,1572296.30508,1414081.58973,1165928.37747,1871164.93356,,,
515493.56499,8.26E+07,1569465.09115,1410931.6269,1164115.82916,1867861.79348,,,
553482.26256,8.26E+07,1566126.39413,1406780.69441,1163346.49982,1865011.91624,,,
594270.48989,8.26E+07,1561819.88841,1404522.56507,1161906.28435,1860125.13196,,,
638064.55538,8.26E+07,1557204.19298,1401246.24312,1159838.20609,1854735.65111,,,
685085.97271,8.27E+07,1553649.99159,1398200.19958,1158617.46595,1849296.77608,,,
735572.57931,8.28E+07,1548926.66046,1394475.63945,1156734.61419,1843517.35058,,,
789779.73639,8.27E+07,1545374.53056,1390169.96755,1154334.86954,1837391.24661,,,
847981.62959,8.26E+07,1540422.70924,1385842.58091,1150986.99808,1830667.33683,,,
910472.64499,8.25E+07,1532334.64507,1380237.70479,1148367.44087,1822106.64402,,,
977568.85823,8.26E+07,1526477.25235,1375896.81345,1144598.45445,1813644.42643,,,
1049609.64928,8.25E+07,1518581.35515,1370735.86914,1141257.83001,1804588.93721,,,
1126959.39891,8.25E+07,1511880.63634,1363823.1369,1137202.2487,1794211.17369,,,
1210009.34849,8.24E+07,1503575.96179,1355391.03929,1133141.66095,1783333.27518,,,
1299179.56667,8.23E+07,1497095.1611,1348593.35537,1127590.34319,1771928.72387,,,
1394921.08562,8.23E+07,1485406.91915,1339584.09223,1122271.90335,1759518.90807,,,
1497718.15672,8.21E+07,1476348.46974,1329690.32275,1116980.03615,1745917.11915,,,
1608090.73867,8.19E+07,1462669.62766,1320779.99222,1110907.04824,1731755.73482,,,
