ang freq,ReZ,ReZ,ReZ,ReZ,ReZ,,,
1726597.09879,8.18E+07,1450545.16399,1310694.05725,1104270.34069,1716822.2159,,,
1853836.65294,8.16E+07,1436795.41481,1298844.72881,1097176.85252,1701163.20872,,,
1990452.96895,8.13E+07,1422589.02161,1288024.8829,1089989.20282,1684548.48758,,,
2137137.06525,8.13E+07,1406554.14767,1275357.28724,1081723.71428,1666522.5451,,,
2294630.87294,8.10E+07,1390034.01623,1262243.03411,1073499.82831,1647182.5703,,,
2463731.00566,8.08E+07,1373014.65632,1247191.24914,1063938.61313,1627443.05611,,,
2645292.77458,8.06E+07,1358162.64002,1233530.88149,1054691.73638,1606759.57781,,,
2840234.52378,8.03E+07,1340033.57499,1217306.12387,1044475.58527,1585611.85038,,,
3049542.27353,8.00E+07,1320359.47984,1200704.3451,1034273.35344,1563326.86202,,,
3274274.71542,7.98E+07,1299950.16068,1183901.73151,1022787.03469,1539855.99552,,,
3515568.54679,7.94E+07,1281264.89604,1167092.8336,1010329.98486,1515303.0043,,,
3774644.25125,7.90E+07,1258781.47094,1148585.36126,997509.52376,1490355.66454,,,
4052812.23108,7.86E+07,1236659.66948,1129676.13716,984526.19612,1464551.50019,,,
4351479.47369,7.82E+07,1214429.02056,1111334.23538,971227.6927,1437338.63414,,,
4672156.65159,7.77E+07,1191644.38734,1091677.62973,957256.77434,1409757.3349,,,
5016465.75651,7.73E+07,1167157.50362,1070590.88411,943032.52673,1381648.93541,,,
5386148.31778,7.67E+07,1143110.84491,1051093.0928,927947.85785,1353277.21064,,,
5783074.19876,7.61E+07,1118851.4076,1029979.42517,912783.39476,1324324.27492,,,
6209251.07195,7.56E+07,1094321.79596,1008564.4601,897113.83444,1295199.95274,,,
6666834.54743,7.49E+07,1069449.70119,986758.91701,881042.95855,1265378.56805,,,
7158139.09934,7.43E+07,1043882.80889,964864.52398,864940.19106,1235266.83067,,,
7685649.76517,7.36E+07,1019087.48291,943074.97468,848328.06548,1205097.31226,,,
8252034.71212,7.29E+07,993589.82698,920837.48915,831843.04104,1174461.9687,,,
8860158.7334,7.22E+07,968254.58391,898528.11815,814488.1802,1143719.7362,,,
9513097.73725,7.12E+07,942483.77628,875959.50459,796945.84027,1112728.77662,,,
1.02E+07,7.07E+07,917357.76332,853836.3819,779763.30486,1082306.90862,,,
1.10E+07,6.99E+07,892164.33117,831617.68967,762312.36157,1051777.7902,,,
1.18E+07,6.90E+07,866852.92193,809277.00517,744831.06959,1020863.72374,,,
1.26E+07,6.83E+07,841614.49668,787229.33744,727304.35456,990849.52912,,,
1.36E+07,6.67E+07,816716.00878,764794.9432,709257.93199,960695.68677,,,
1.46E+07,6.54E+07,791737.04979,742390.33643,690851.73068,931146.53714,,,
1.56E+07,6.41E+07,767744.57857,720880.21712,673130.4749,901708.31563,,,
1.68E+07,6.29E+07,744007.22756,699490.4153,655792.14592,872690.2174,,,
1.80E+07,6.20E+07,720208.99216,678184.21765,638256.39918,844182.16069,,,
1.94E+07,6.07E+07,697157.96524,657219.51638,621053.19954,816055.33476,,,
2.08E+07,5.92E+07,674217.90482,636344.4153,603851.48257,788220.39067,,,
2.23E+07,5.80E+07,651984.37442,616002.73956,586760.252,761322.98323,,,
2.40E+07,5.68E+07,630111.10835,596182.81332,569945.54999,734621.27088,,,
2.57E+07,5.58E+07,608803.15065,576451.08029,553443.81477,708329.11576,,,
2.76E+07,5.42E+07,587907.73788,557249.82494,536979.45968,682814.54522,,,
2.97E+07,5.28E+07,567483.20231,538453.97131,520882.63655,657662.02976,,,
3.19E+07,5.14E+07,547552.6536,519951.20839,505016.02671,633443.76396,,,
3.42E+07,4.99E+07,528071.55621,501890.49034,489455.42165,609610.3802,,,
3.67E+07,4.84E+07,509180.69605,484329.39592,474210.20969,586650.17266,,,
3.94E+07,4.72E+07,490715.79845,467104.18285,459356.64707,564126.43072,,,
4.23E+07,4.59E+07,472834.88062,450272.80956,444633.87703,542294.62856,,,
4.55E+07,4.43E+07,455385.17441,433976.01399,430321.07418,520885.57426,,,
4.88E+07,4.30E+07,438400.9668,417963.70213,416237.39555,500040.28988,,,
5.24E+07,4.14E+07,421972.48922,402533.75614,402574.72143,480134.11592,,,
5.63E+07,3.99E+07,406044.78068,387493.72469,389210.6177,460773.13058,,,
6.04E+07,3.88E+07,390658.75014,372911.52132,376271.33727,441914.40534,,,
6.49E+07,3.73E+07,375750.54935,358720.83557,363568.06189,423610.28708,,,
6.97E+07,3.59E+07,361251.91432,345017.15725,351197.84128,405998.3364,,,
7.48E+07,3.45E+07,347327.04193,331792.28122,339296.91453,389093.84083,,,
8.03E+07,3.32E+07,333811.09624,318860.40818,327659.31512,372491.90581,,,
8.62E+07,3.16E+07,320656.42126,306383.49549,316400.72993,356596.09095,,,
9.26E+07,3.06E+07,308122.08798,294403.72761,305440.33895,341306.79809,,,
9.94E+07,2.94E+07,296221.98927,282999.01274,295038.11908,326778.6479,,,
1.07E+08,2.81E+07,284514.73599,271773.66391,284784.30097,312490.78882,,,
1.15E+08,2.70E+07,273138.92213,260924.06532,274795.77341,298909.10466,,,
1.23E+08,2.56E+07,262213.80956,250353.10355,264912.37518,285807.16732,,,
1.32E+08,2.45E+07,251759.61421,240263.98384,255595.78861,273232.24303,,,
1.42E+08,2.33E+07,241666.90474,230599.43206,246588.60292,260970.16401,,,
1.52E+08,2.24E+07,231931.90419,221299.30536,237997.44932,249276.83587,,,
1.64E+08,2.15E+07,222621.37213,212335.09413,229758.85455,237931.9541,,,
1.76E+08,2.02E+07,213613.77247,203776.48492,221832.36836,227085.61935,,,
1.88E+08,1.90E+07,204888.55448,195021.0382,213258.07009,217208.83778,,,
--,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
,--,--,--,--,--,,,
